invoice_number,invoice_date,customer_gstin,place_of_supply,hsn_code,tax_rate,taxable_value,quantity,supplier_state
INV001,2024-01-15,27AAPFU0939F1ZV,Maharashtra,8517,18,50000,10,Maharashtra
INV002,2024-01-16,29AAGCM1234P1ZT,Karnataka,8517,18,75000,15,Maharashtra
INV003,2024-01-17,,Maharashtra,8471,18,2500,2,Maharashtra
INV004,2024-01-18,07AAACR5055K1ZG,Delhi,8528,28,300000,5,Maharashtra
INV005,2024-01-19,,Tamil Nadu,8517,18,180000,8,Maharashtra
INV006,2024-01-20,33AAHCP7890N1ZF,Tamil Nadu,8471,18,95000,12,Maharashtra
INV007,2024-01-21,,Maharashtra,8528,28,15000,3,Maharashtra
INV008,2024-01-22,24AAACR1234L1ZG,Gujarat,8517,18,450000,20,Maharashtra
INV009,2024-01-23,,Karnataka,8471,18,220000,6,Maharashtra
INV010,2024-01-24,27AAGCP5678Q1ZR,Maharashtra,8528,28,85000,4,Maharashtra
INV011,2024-01-25,,Maharashtra,8517,18,3500,1,Maharashtra
INV012,2024-01-26,06AAACR9876M1ZG,Haryana,8471,18,520000,25,Maharashtra
INV013,2024-01-27,,Delhi,8517,18,195000,7,Maharashtra
INV014,2024-01-28,29AAPFU4567K1ZL,Karnataka,8528,28,125000,9,Maharashtra
INV015,2024-01-29,,Maharashtra,8471,18,8000,2,Maharashtra
INV016,2024-01-30,27AAACR7890N1ZG,Maharashtra,8517,18,165000,11,Maharashtra
INV017,2024-02-01,,Tamil Nadu,8528,28,275000,14,Maharashtra
INV018,2024-02-02,09AAACR3456P1ZG,Uttar Pradesh,8471,18,380000,18,Maharashtra
INV019,2024-02-03,,Maharashtra,8517,18,12000,4,Maharashtra
INV020,2024-02-04,27AAGCM9012Q1ZR,Maharashtra,8528,28,210000,16,Maharashtra
